OBJECTID,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.397839,-72.172043,47,,,,,,2013-08-25T14:58:18Z,25,8,2013,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,384765,,,,CC_BY_NC_4_0,Jeremy,Jeremy,,,2019-10-01T08:07:11.027Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,345403,345403,94645,181162,314225,409186,,,94645,181162,,
2,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.278604,-72.44124,,,,,,,2019-09-14T10:14:00Z,14,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,33341114,,,2019-09-24T22:45:08Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-10-01T08:06:50.517Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,302068,302068,64198,147461,271071,366032,,,64198,147461,,
3,1780,Ursus americanus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.931354,-72.797969,27723,,,,,,2019-09-22T13:59:22Z,22,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,33232037,,,2019-09-23T00:45:48Z,CC_BY_NC_4_0,pcrisanti,pcrisanti,,,2019-10-01T08:06:31.608Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,211784,212480,91524,148857,137082,182991,,,91524,148857,182991,137082
4,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.404836,-72.300931,7,,,,,,2019-09-17T15:54:44Z,17,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32909715,,,2019-09-19T00:32:12Z,CC_BY_NC_4_0,sabadog,sabadog,,,2019-10-01T08:05:38.235Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,331375,331413,81182,165970,306947,401908,,,81182,165970,,
5,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.937832,-72.89221,27411,,,,,,2019-08-13T10:53:00Z,13,8,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32897720,,,2019-09-17T16:29:39Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-10-01T08:05:36.947Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,199927,199927,16043,75511,148408,243368,199927,199927,16043,75511,,148408
6,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.995138,-72.884814,27411,,,,,,2019-08-05T08:26:00Z,5,8,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32897716,,,2019-09-17T16:29:36Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-10-01T08:05:34.680Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6,211196,211196,16844,77320,161385,256346,,,16844,77320,,161385
7,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.963535,-72.949169,27411,,,,,,2019-07-08T14:12:00Z,8,7,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32897323,,,2019-09-17T16:21:47Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-10-01T08:05:35.241Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,198608,198608,15002,73572,151322,246282,198608,198608,15002,73572,,151322
8,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.852358,-72.867389,27411,,,,,,2019-08-11T16:55:00Z,11,8,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32897718,,,2019-09-17T16:29:38Z,CC_BY_NC_4_0,wtobin,wtobin,,,2019-10-01T08:05:36.354Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,186675,186675,16543,75924,132693,227653,186675,186675,16543,75924,,132693
9,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.750827,-73.341395,2710,,,,,,2019-07-08T11:29:00Z,8,7,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32802480,,,2019-09-15T23:54:45Z,CC_BY_NC_4_0,Trix Niernberger,Trix Niernberger,,,2019-10-01T08:05:15.496Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,73823,73823,9111,49918,25053,45305,73823,73823,9111,49918,45305,25053
10,1780,Ursus americanus,,US,,Massachusetts,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.716277,-72.451718,8,,,,,,2019-09-14T17:32:27Z,14,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32742356,,,2019-09-15T02:48:46Z,CC_BY_NC_4_0,Jonathan Poppele,Jonathan Poppele,,,2019-10-01T08:04:29.570Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,206994,207022,75351,137890,125513,180477,,,75351,137890,180477,125513
11,1780,Ursus americanus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.620716,-72.849675,27754,,,,,,2019-09-14T12:37:09Z,14,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32738808,,,2019-09-15T01:27:38Z,CC_BY_NC_4_0,tpalacios,tpalacios,,,2019-10-01T08:04:28.773Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,286178,285895,160326,210579,211413,259887,,,160326,,,
