OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,2445117998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34634515,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.258412,-73.25788,27816,,,,,,2018-12-20T08:00:06Z,20,12,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,34634515,,,2019-10-20T15:28:06Z,CC_BY_NC_4_0,jevois,jevois,,,2019-10-31T16:10:36.243Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,296692,296936,191426,225508,233863,280195,,,191426,,,
2,2429589771,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34366633,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.48314,-73.55046,27785,,,,,,2019-10-02T22:46:00Z,2,10,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,34366633,,,2019-10-14T17:32:22Z,CC_BY_NC_4_0,maintguy51,maintguy51,,,2019-10-24T08:57:17.183Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,208365,208737,105580,140250,147131,193463,,,105580,140250,193463,147131
3,2429560878,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34258750,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.445609,-73.399594,27785,,,,,,2019-10-09T15:38:10Z,9,10,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,34258750,,,2019-10-12T18:04:45Z,CC_BY_NC_4_0,Ed,Ed,,,2019-10-24T08:56:55.544Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,2,241133,241549,135546,171775,178425,224457,,,135546,171775,,178425
4,2429560747,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34258570,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.412704,-73.27846,27785,,,,,,2019-10-09T13:19:18Z,9,10,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,34258570,,,2019-10-12T18:01:28Z,CC_BY_NC_4_0,Ed,Ed,,,2019-10-24T08:56:56.713Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,257715,258209,151515,189045,195085,238944,,,151515,189045,,195085
5,2429421461,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34011032,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.910829,-73.562386,27723,,,,,,2019-10-06T13:06:26Z,6,10,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,34011032,,,2019-10-07T14:12:28Z,CC_BY_NC_4_0,chukwood,chukwood,,,2019-10-24T08:56:13.603Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,124747,124620,20506,71226,61496,101040,124747,124620,20506,71226,101040,61496
6,2429405434,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33957568,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.485149,-73.332281,27785,,,,,,2019-09-30T00:00:00Z,30,9,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,33957568,,,2019-10-06T16:26:01Z,CC_BY_NC_4_0,Ed,Ed,,,2019-10-24T08:55:58.128Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,229299,229715,122308,160552,166592,209737,,,122308,160552,,166592
7,2429353994,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33779208,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.369273,-73.272696,27816,,,,,,2019-09-24T09:00:22Z,24,9,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,33779208,,,2019-10-03T01:12:15Z,CC_BY_NC_4_0,jd12ells,jd12ells,,,2019-10-24T08:55:05.507Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,271995,272489,165206,203325,209365,253102,,,165206,,,
8,2429337371,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33723777,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.734549,-72.784201,27754,,,,,,2019-09-06T18:46:49Z,6,9,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,33723777,,,2019-10-01T21:51:03Z,CC_BY_NC_4_0,hartneka47,hartneka47,,,2019-10-24T08:54:39.530Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,8,260666,260384,134853,186430,184036,233202,,,134853,186430,,184036
9,2429336014,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/33724449,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Connecticut,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.637257,-72.75472,27754,,,,,,2019-09-06T18:45:26Z,6,9,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,33724449,,,2019-10-01T22:04:14Z,CC_BY_NC_4_0,hartneka47,hartneka47,,,2019-10-24T08:54:39.225Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,14,315556,315274,189704,239958,240792,289198,,,189704,,,
10,2429209178,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/26593160,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.047227,-72.667843,11649,,,,,,2015-01-19T00:00:00Z,19,1,2015,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,26593160,,,2019-06-08T06:40:04Z,CC_BY_NC_4_0,engleton,engleton,,,2019-10-24T08:42:58.689Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,158673,158169,39948,98602,85358,143135,158673,158169,39948,98602,143135,85358
