OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,2460163399,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35747679,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.69477,-72.666111,128,,,,,,2019-11-16T14:21:06Z,16,11,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,35747679,,,2019-11-16T19:35:20Z,CC_BY_NC_4_0,Noel Dodge,Noel Dodge,,,2019-11-29T15:09:44.900Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,337157,337157,51724,149416,319202,430333,,,51724,149416,,
2,2460060171,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35924941,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340861,-72.461378,,,,,,,2014-12-26T03:55:00Z,26,12,2014,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,35924941,,,2019-11-21T19:46:51Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-11-29T15:09:41.514Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,303834,303834,65166,148428,280174,375134,,,65166,148428,,
3,2459990177,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1214538,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.340881,-72.461311,184,,,,,,2014-12-21T00:00:00Z,21,12,2014,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,1214538,,,2019-11-17T19:52:55Z,CC_BY_NC_4_0,Erika Mitchell,Erika Mitchell,,,2019-11-29T15:09:51.280Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84,1,303834,303834,65166,148428,280174,375134,,,65166,148428,,
4,2456577726,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35640737,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.713648,-72.336601,22,,,,,,2019-11-02T10:24:48Z,2,11,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,35640737,,,2019-11-13T13:55:53Z,CC_BY_NC_4_0,smccaull,smccaull,,,2019-11-29T15:09:36.557Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,244061,243708,65760,131412,187779,271973,,,65760,131412,,187779
5,2456542977,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35514808,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New Hampshire,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.924502,-72.328213,765,,,,,,2019-11-06T09:15:40Z,6,11,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,35514808,,,2019-11-10T03:12:58Z,CC_BY_NC_4_0,dnallett,dnallett,,,2019-11-29T15:09:21.771Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,217885,217913,80092,144405,139003,199965,,,80092,144405,199965,139003
6,2456532480,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/35484032,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.273828,-74.370567,,,,,,,2019-08-02T10:00:19Z,2,8,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,35484032,,,2019-11-09T11:28:46Z,CC_BY_NC_4_0,awesomeviewobserver,awesomeviewobserver,,,2019-11-29T15:10:27.460Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,7493,2784,4237,2823,652,4410,7493,2784,4237,2823,4410,652
7,2456505456,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/32158735,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.208419,-72.783814,30,,,,,,2019-09-05T09:45:00Z,5,9,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,32158735,,,2019-09-05T13:57:45Z,CC_BY_NC_4_0,awerntgen,awerntgen,,,2019-11-29T15:09:23.892Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,241768,241768,25363,103100,216034,310994,,,25363,103100,,
8,2447958452,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34971304,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.750827,-73.341395,2710,,,,,,2019-09-21T08:08:00Z,21,9,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,34971304,,,2019-10-27T18:24:12Z,CC_BY_NC_4_0,Trix Niernberger,Trix Niernberger,,,2019-11-29T15:09:43.859Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,7,73823,73823,9111,49918,25053,45305,73823,73823,9111,49918,45305,25053
9,2445009877,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34609761,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.958684,-72.418701,27253,,,,,,2019-10-19T10:42:00Z,19,10,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,34609761,,,2019-10-19T22:43:09Z,CC_BY_NC_4_0,jcw,jcw,,,2019-11-29T15:09:25.953Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,405875,405175,117420,216191,393601,504545,,,117420,,,
10,2444959659,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34597356,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,,SPECIES,"Pekania pennanti (Erxleben, 1777)",Pekania pennanti,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.039215,-75.022304,227,,,,,,2019-10-19T15:05:54Z,19,10,2019,8631083,5218855,HUMAN_OBSERVATION,iNaturalist,Observations,34597356,,,2019-10-19T19:11:44Z,CC_BY_NC_4_0,joeygiu,joeygiu,,,2019-11-29T15:09:19.587Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,1,54275,12307,5200,20788,7320,61906,54275,12307,5200,20788,61906,7320
