OBJECTID,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,2311341958,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/29665904,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Pennsylvania,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.854056,-75.739833,27723,,,,,,2018-11-23T17:04:00Z,23,11,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,29665904,,,2019-07-27T21:46:05Z,CC_BY_NC_4_0,Nancy,Nancy,,,2019-10-01T07:54:45.982Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,7,178786,87685,73894,125032,126195,180940,178786,87685,73894,125032,180940,126195
2,2294632749,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/29331320,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Pennsylvania,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.721993,-75.981058,27754,,,,,,2019-05-19T17:42:32Z,19,5,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,29331320,,,2019-07-22T18:31:52Z,CC_BY_NC_4_0,sorciervert,sorciervert,,,2019-10-01T07:54:16.580Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,250203,151359,140579,190599,193215,249004,,151359,140579,190599,,193215
3,2273300290,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/27660989,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,Pennsylvania,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.832586,-75.895885,27723,,,,,,2018-11-22T12:56:47Z,22,11,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,27660989,,,2019-06-25T22:35:55Z,CC_BY_NC_4_0,nkwottrich,nkwottrich,,,2019-09-21T00:28:02.102Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,214231,117254,105613,157422,157323,213032,,117254,105613,157422,,157323
4,2265849760,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/26704010,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.236252,-74.395506,3160,,,,,,2019-06-09T10:44:37Z,9,6,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,26704010,,,2019-06-09T21:21:47Z,CC_BY_NC_4_0,otomops,otomops,,,2019-09-21T00:27:59.036Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,6,255295,240870,127911,195121,179060,282049,,,127911,195121,,179060
5,2242961635,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/25021044,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.040426,-75.023254,72,,,,,,2019-03-11T16:32:18Z,11,3,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,25021044,,,2019-05-12T20:58:58Z,CC_BY_NC_4_0,joeygiu,joeygiu,,,2019-09-21T00:28:03.633Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,54185,12217,5327,20788,7230,61779,54185,12217,5327,20788,61779,7230
6,2236889680,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22529844,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.52846,-75.305593,27630,,,,,,2019-04-04T13:59:00Z,4,4,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,22529844,,,2019-04-15T21:55:19Z,CC_BY_NC_4_0,Michelle Herman,Michelle Herman,,,2019-09-21T00:28:07.257Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,80853,10030,6450,37423,20871,51569,80853,10030,6450,37423,51569,20871
7,1990524460,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/19708041,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.465402,-73.934719,27785,,,,,,2019-01-18T08:11:18Z,18,1,2019,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,19708041,,,2019-01-18T13:12:39Z,CC_BY_NC_4_0,jessicajacksonparks,jessicajacksonparks,,,2019-09-21T00:28:02.223Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,3,187490,187366,84091,116982,134370,196500,187490,187366,84091,116982,196500,134370
8,1838397314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/11141577,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.215431,-74.001614,27661,,,,,,2018-02-24T19:45:00Z,24,2,2018,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,11141577,,,2018-04-18T23:49:26Z,CC_BY_NC_4_0,mical,mical,,,2019-09-21T00:28:10.818Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,16631,16631,496,9484,3524,3473,16631,16631,496,9484,3473,3524
9,1584415821,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/7170301,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,,SPECIES,"Lynx rufus (Schreber, 1777)",Lynx rufus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.615699,-73.890867,8,,,,,,2011-08-26T08:04:00Z,26,8,2011,2435246,2435246,HUMAN_OBSERVATION,iNaturalist,Observations,7170301,,,2017-07-23T08:59:37Z,CC_BY_NC_4_0,bobcatdad16,bobcatdad16,,,2019-09-21T00:27:59.224Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,18263,18263,9311,18326,11887,12174,18263,18263,9311,18326,12174,11887
10,,,,,,,,,,,,,1780,Ursus americanus,,US,,New Jersey,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.182362,-74.398639,27847,,,,,,2019-09-01T11:07:32Z,1,9,2019,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,32139834,,,2019-09-05T01:41:20Z,CC_BY_NC_4_0,addyrondack,addyrondack,,,2019-10-01T07:58:31.816Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,257831,242884,128592,197315,179741,285199,,,128592,197315,,179741
