OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,1,1,175348,175221,67301,109601,112097,154505,175348,175221,67301,109601,154505,112097
2,1,1,188590,83537,75220,130297,131929,187207,188590,83537,75220,130297,187207,131929
3,1,2,207602,171829,1925,37611,239990,373900,,171829,1925,37611,,
4,1,1,82591,10702,4625,39718,26114,67280,82591,10702,4625,39718,67280,26114
5,1,1,108443,108527,522,5607,62229,185536,108443,108527,522,5607,185536,62229
6,1,8,154095,100999,45388,82229,94511,163915,154095,100999,45388,82229,163915,94511
7,1,1,93273,93273,17832,48955,47118,88151,93273,93273,17832,48955,88151,47118
8,1,1,183138,183138,22887,64043,146343,261630,183138,183138,22887,64043,,146343
9,1,9,125398,107543,34345,59535,59186,148601,125398,107543,34345,59535,148601,59186
10,1,8,223072,224143,100916,158935,147160,194654,,,100916,158935,194654,147160
11,1,1,52197,16093,746,12447,2015,46347,52197,16093,746,12447,46347,2015
12,1,7,281284,136276,60788,108779,277100,360579,,136276,60788,108779,,
13,1,2,2008,2008,2008,4629,2008,2008,2008,2008,2008,4629,2008,2008
14,1,1,163446,162912,39756,99538,90289,151761,163446,162912,39756,99538,151761,90289
15,1,8,66798,66669,13120,27727,24236,70076,66798,66669,13120,27727,70076,24236
16,1,1,186813,162477,332,17257,205480,341533,186813,162477,332,17257,,
17,1,1,65340,38377,2721,6754,9029,84246,65340,38377,2721,6754,84246,9029
18,1,3,220943,200093,115550,157117,151754,247975,,,115550,157117,,151754
19,1,4,31798,6884,6732,16379,1682,15119,31798,6884,6732,16379,15119,1682
20,1,5,292502,198074,186035,231750,239087,293764,,198074,186035,,,
21,1,1,99301,99301,5550,11499,51801,165490,99301,99301,5550,11499,165490,51801
22,1,1,90328,16929,18222,50660,36539,53709,90328,16929,18222,50660,53709,36539
23,1,7,162543,162549,20992,79103,101136,191351,162543,162549,20992,79103,191351,101136
24,1,5,10911,10911,590,5462,1232,3223,10911,10911,590,5462,3223,1232
25,1,7,103836,103553,19777,66978,46544,69100,103836,103553,19777,66978,69100,46544
26,1,1,16721,16395,630,3494,149,4512,16721,16395,630,3494,4512,149
27,1,6,180414,83243,71333,123142,123044,178753,180414,83243,71333,123142,178753,123044
28,1,1,191554,66524,10907,33898,187173,284119,191554,66524,10907,33898,,187173
29,1,9,317426,318498,195271,252565,241514,289009,,,195271,,,
30,1,7,266804,152476,142554,197631,210090,265799,,152476,142554,197631,,
31,1,1,171562,110375,356,2144,168082,302077,171562,110375,356,2144,,168082
32,1,1,143517,104680,41473,71336,77828,160840,143517,104680,41473,71336,160840,77828
33,1,2,189081,188547,53638,114587,115924,185256,189081,188547,53638,114587,185256,115924
34,1,8,215308,116936,107014,158905,158807,214516,,116936,107014,158905,,158807
35,1,1,141529,141613,30660,85730,68051,107210,141529,141613,30660,85730,107210,68051
36,1,1,220745,220617,110455,156230,157494,199080,,,110455,156230,199080,157494
37,1,1,228896,228896,16642,92110,209723,308801,,,16642,92110,,
38,1,4,174564,116478,70432,109719,125447,183783,174564,116478,70432,109719,183783,125447
39,1,1,294989,182167,172245,227322,238568,294277,,182167,172245,,,
40,1,1,136692,6239,21226,61217,94856,141388,136692,6239,21226,61217,141388,94856
41,1,7,120939,109976,32454,59119,60603,147947,120939,109976,32454,59119,147947,60603
42,1,1,103877,103877,2479,13371,56765,172073,103877,103877,2479,13371,172073,56765
43,1,8,322603,323675,200448,258466,246691,294186,,,,,,
44,1,1,175187,175060,67140,110231,111936,154344,175187,175060,67140,110231,154344,111936
45,1,1,136255,119336,38418,70844,68344,159793,136255,119336,38418,70844,159793,68344
46,1,7,205109,130181,106418,143422,154998,208299,,130181,106418,143422,,154998
47,1,1,64763,64763,3322,28565,4376,86674,64763,64763,3322,28565,86674,4376
48,1,9,269768,270817,141562,201099,189324,240241,,,141562,,,189324
49,1,1,332633,207472,56184,116340,326903,449831,,,56184,116340,,
50,1,12,365319,365319,253659,289587,304409,353108,,,,,,
51,1,1,60099,59772,351,2994,7567,78941,60099,59772,351,2994,78941,7567
52,1,1,15409,670,2875,9970,670,10370,15409,670,2875,9970,10370,670
53,1,1,81281,74200,16089,24563,34553,110535,81281,74200,16089,24563,110535,34553
54,1,1,105155,80850,23266,32790,47448,123586,105155,80850,23266,32790,123586,47448
55,1,1,114594,114594,13636,57031,45441,123059,114594,114594,13636,57031,123059,45441
56,1,1,202451,202451,14048,69649,182044,297761,,,14048,69649,,182044
57,1,1,41256,41256,75,22272,4689,19176,41256,41256,75,22272,19176,4689
58,1,1,149565,149838,37743,92719,76464,114180,149565,149838,37743,92719,114180,76464
59,1,5,132053,19629,28921,69037,71552,114707,132053,19629,28921,69037,114707,71552
60,1,1,110841,110718,20958,43441,66536,123550,110841,110718,20958,43441,123550,66536
61,1,1,24540,24214,37,1230,0,9811,24540,24214,37,1230,9811,0
62,1,1,136801,136267,25634,77696,62166,115708,136801,136267,25634,77696,115708,62166
63,1,1,201543,75562,16389,40084,197107,295468,,75562,16389,40084,,197107
64,1,3,261578,261578,15706,96559,245382,363178,,,15706,96559,,
65,1,9,295689,296007,180142,227336,235546,310660,,,180142,,,
66,1,1,63334,61389,706,5393,16308,80271,63334,61389,706,5393,80271,16308
67,1,1,227205,88553,27876,60018,223021,311223,,88553,27876,60018,,
68,1,1,157286,156752,32286,91518,84129,151103,157286,156752,32286,91518,151103,84129
69,1,1,32840,15805,2457,10016,2000,11148,32840,15805,2457,10016,11148,2000
70,1,1,97628,97628,755,16470,47990,157997,97628,97628,755,16470,157997,47990
71,1,5,565228,564490,457979,484948,501106,551501,,,,,,
72,1,1,131646,131619,17381,71391,58996,122072,131646,131619,17381,71391,122072,58996
73,1,1,178336,105124,476,4076,177163,312985,178336,105124,476,4076,,177163
74,1,1,40871,20920,5536,10716,566,40631,40871,20920,5536,10716,40631,566
75,1,1,151238,89773,50564,97118,106699,159828,151238,89773,50564,97118,159828,106699
76,1,1,194200,193666,47001,106547,121043,193375,194200,193666,47001,106547,193375,121043
77,1,1,119565,119671,23735,72556,54150,85268,119565,119671,23735,72556,85268,54150
78,1,1,167391,167391,13270,69292,121127,215667,167391,167391,13270,69292,,121127
79,1,1,318062,317845,200471,240771,258316,309534,,,,,,
80,1,1,129574,129574,105,4575,96575,228625,129574,129574,105,4575,,96575
81,1,1,197522,40775,51479,102144,147104,206342,197522,40775,51479,102144,,147104
82,1,5,602012,601083,475268,524350,526601,579546,,,,,,
83,1,1,66585,332,9918,27360,21023,51112,66585,332,9918,27360,51112,21023
84,1,3,71151,71151,3538,40784,25235,50622,71151,71151,3538,40784,50622,25235
85,1,5,247834,247834,16815,71225,256920,399455,,,16815,71225,,
86,1,1,94502,62976,708,3215,48653,147386,94502,62976,708,3215,147386,48653
87,1,5,73237,14465,5762,34341,17789,54397,73237,14465,5762,34341,54397,17789
88,1,5,165469,165469,20055,43961,145475,271840,165469,165469,20055,43961,,145475
89,1,1,32326,29625,75,1579,0,22997,32326,29625,75,1579,22997,0
90,1,1,25890,25890,1531,14913,3110,9907,25890,25890,1531,14913,9907,3110
91,1,1,73202,10137,1264,35486,23068,74054,73202,10137,1264,35486,74054,23068
92,1,1,185332,119351,0,8912,194701,329621,185332,119351,0,8912,,194701
93,1,1,146050,48712,0,14615,131006,234201,146050,48712,0,14615,,131006
94,1,1,83986,83986,354,4851,32311,135248,83986,83986,354,4851,135248,32311
95,1,1,207067,130523,982,21997,214766,353147,,130523,982,21997,,
96,1,2,78858,79035,3922,48786,29117,44846,78858,79035,3922,48786,44846,29117
97,1,3,54472,54472,10911,34919,14525,27209,54472,54472,10911,34919,27209,14525
98,1,1,215294,61828,53237,101040,178792,229977,,61828,53237,101040,,178792
99,1,9,235027,101958,110145,156755,176839,240832,,101958,110145,156755,,176839
100,1,1,1937,1937,1937,4558,1200,1937,1937,1937,1937,4558,1937,1200
101,1,1,272974,272974,19001,95008,277643,413371,,,19001,95008,,
102,1,1,90743,41539,1826,40779,44787,102102,90743,41539,1826,40779,102102,44787
103,1,1,176770,27689,21607,60916,155136,212033,176770,27689,21607,60916,,155136
104,1,5,408020,406900,281085,330166,332418,385362,,,,,,
105,1,1,53720,26273,1261,10159,2460,56506,53720,26273,1261,10159,56506,2460
106,1,5,568406,568124,442309,487884,493642,547408,,,,,,
107,1,1,37773,18115,3523,10796,18,18359,37773,18115,3523,10796,18359,18
108,1,1,122690,31059,0,14615,97075,187481,122690,31059,0,14615,187481,97075
109,1,7,142193,141659,32622,86572,66562,118214,142193,141659,32622,86572,118214,66562
