OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,1,3,34625,34451,329,22666,2272,12070,34625,34451,329,22666,12070,2272
2,1,2,155753,39835,45418,94633,98088,148687,155753,39835,45418,94633,148687,98088
3,1,8,280517,280287,57581,138434,229618,324579,,,57581,138434,,
4,1,7,261951,132352,20900,65373,257230,371790,,132352,20900,65373,,
5,1,1,126260,66941,25701,73696,81782,134911,126260,66941,25701,73696,134911,81782
6,1,1,91753,91436,11808,58287,37391,57247,91753,91436,11808,58287,57247,37391
7,1,1,15847,15847,2916,8025,1364,8159,15847,15847,2916,8025,8159,1364
8,1,1,65204,14165,235,17489,3450,20308,65204,14165,235,17489,20308,3450
9,1,1,59220,59220,447,4146,11628,87057,59220,59220,447,4146,87057,11628
10,1,1,140499,140499,3527,26255,113318,243897,140499,140499,3527,26255,,113318
11,1,1,4609,4609,742,4778,820,5643,4609,4609,742,4778,5643,820
12,1,2,97715,97181,13621,61078,38700,64292,97715,97181,13621,61078,64292,38700
13,1,1,127331,111126,28,5268,90223,221155,127331,111126,28,5268,,90223
14,1,1,307660,307489,69184,152884,264036,358996,,,69184,152884,,
15,1,3,137687,14942,27618,68550,77187,122299,137687,14942,27618,68550,122299,77187
16,1,3,132635,132635,21773,61074,94379,190772,132635,132635,21773,61074,190772,94379
17,1,1,195469,62124,67729,116921,137005,194846,195469,62124,67729,116921,194846,137005
18,1,9,342503,341280,228399,266361,281752,331836,,,,,,
19,1,1,207099,207099,15601,72809,162554,257093,,,15601,72809,,162554
20,1,3,60231,59698,5619,40225,16621,30057,60231,59698,5619,40225,30057,16621
21,1,1,150138,150138,3469,11996,126262,266283,150138,150138,3469,11996,,126262
22,1,9,54714,54714,43718,54776,46329,48765,54714,54714,43718,54776,48765,46329
23,1,1,167275,167219,25163,84395,95745,173578,167275,167219,25163,84395,173578,95745
24,1,1,119120,59342,19148,67143,74135,128358,119120,59342,19148,67143,128358,74135
25,1,1,181002,136745,0,8597,190462,328087,181002,136745,0,8597,,190462
26,1,1,145238,144704,31025,85873,70603,125900,145238,144704,31025,85873,125900,70603
27,1,1,5052,5052,4216,7052,3369,4216,5052,5052,4216,7052,4216,3369
28,1,1,27811,15331,2762,6578,255,16880,27811,15331,2762,6578,16880,255
29,1,1,21576,21250,671,2175,676,6037,21576,21250,671,2175,6037,676
30,1,8,50746,50746,2949,24337,8140,29939,50746,50746,2949,24337,29939,8140
31,1,7,295550,295550,174174,220592,238484,293815,,,174174,,,
32,1,1,187563,127897,2592,11143,199440,335468,187563,127897,2592,11143,,199440
33,1,1,179466,178933,35588,95112,106309,181288,179466,178933,35588,95112,181288,106309
34,1,5,520001,519874,407401,450681,456440,499159,,,,,,
35,1,5,603344,602416,476601,524790,527934,580879,,,,,,
36,1,1,46007,19579,1670,12064,0,33726,46007,19579,1670,12064,33726,0
37,1,8,210447,77377,85565,132175,152259,216252,,77377,85565,132175,,152259
38,1,1,87936,87976,4437,50024,31644,52319,87936,87976,4437,50024,52319,31644
39,1,1,7969,7957,5847,10449,4851,7416,7969,7957,5847,10449,7416,4851
40,1,1,166080,36431,43243,91229,107415,153654,166080,36431,43243,91229,153654,107415
41,1,1,227232,226699,75388,136785,154075,224490,,,75388,136785,,154075
42,1,7,189469,189826,70042,126513,114738,160337,189469,189826,70042,126513,160337,114738
43,1,7,205560,114169,100737,150609,152978,207804,,114169,100737,150609,,152978
44,1,1,115456,115562,22485,71307,52900,81159,115456,115562,22485,71307,81159,52900
45,1,1,146028,97414,53,1460,121226,253383,146028,97414,53,1460,,121226
46,1,8,200531,200531,14503,74576,186831,315890,,,14503,74576,,186831
47,1,7,13373,773,3617,8573,773,8973,13373,773,3617,8573,8973,773
48,1,3,192759,192759,22471,66551,164833,270019,192759,192759,22471,66551,,164833
49,1,1,214984,123049,109618,159490,161964,216790,,123049,109618,159490,,161964
50,1,3,131993,86622,1093,1217,100933,225031,131993,86622,1093,1217,,100933
51,1,1,189314,60539,15085,38076,184932,275607,189314,60539,15085,38076,,184932
52,1,3,38412,17403,6346,15512,2654,16578,38412,17403,6346,15512,16578,2654
53,1,1,14614,14614,640,5778,367,2864,14614,14614,640,5778,2864,367
54,1,3,219393,219393,8868,38401,228479,371014,,,8868,38401,,
55,1,1,121536,102355,0,4364,76198,208381,121536,102355,0,4364,,76198
56,1,7,106685,99090,876,5618,53328,179372,106685,99090,876,5618,179372,53328
57,1,1,227727,227727,115902,156412,171234,222777,,,115902,156412,,171234
58,1,8,235320,122099,112177,167254,178481,234190,,122099,112177,167254,,178481
59,1,1,216924,181558,108433,146689,139468,237234,,181558,108433,146689,,139468
60,1,1,97776,97776,373,5688,42761,162024,97776,97776,373,5688,162024,42761
61,1,1,53869,54233,14445,37968,15963,26541,53869,54233,14445,37968,26541,15963
62,1,1,104417,20251,14392,57569,46677,92498,104417,20251,14392,57569,92498,46677
63,1,5,184815,67395,66874,121549,127275,179224,184815,67395,66874,121549,179224,127275
64,1,1,127801,127801,14542,67658,56670,126883,127801,127801,14542,67658,126883,56670
65,1,6,146142,145608,31100,86473,71568,127756,146142,145608,31100,86473,127756,71568
66,1,1,123311,122777,18258,70452,48252,98313,123311,122777,18258,70452,98313,48252
67,1,4,205069,174782,98074,135121,129109,225666,,174782,98074,135121,,129109
68,1,1,232714,232714,119632,160795,176221,228208,,,119632,160795,,176221
69,1,1,71144,71144,3238,11240,20071,107801,71144,71144,3238,11240,107801,20071
70,1,1,1363,1363,1363,3984,1363,1363,1363,1363,1363,3984,1363,1363
71,1,1,183502,175441,87673,124999,126141,212107,183502,175441,87673,124999,,126141
72,1,1,168053,144424,1807,3062,173107,305932,168053,144424,1807,3062,,173107
73,1,12,229640,230648,107421,165440,153665,201159,,,107421,165440,,153665
74,1,1,39123,20986,2435,9400,0,28922,39123,20986,2435,9400,28922,0
75,1,6,60759,60759,3444,19462,5574,83213,60759,60759,3444,19462,83213,5574
76,1,7,185912,140174,1310,12821,199421,336999,185912,140174,1310,12821,,199421
77,1,1,260978,100379,53484,103987,257779,312842,,100379,53484,103987,,
78,1,1,274939,207524,170144,207222,222701,281344,,,170144,,,
79,1,1,142569,95068,36847,69841,80779,154041,142569,95068,36847,69841,154041,80779
80,1,1,260002,260002,17058,97911,242457,356122,,,17058,97911,,
81,1,1,13241,7734,3672,1463,891,3049,13241,7734,3672,1463,3049,891
82,1,7,246292,181411,3348,54522,256332,394976,,181411,3348,54522,,
83,1,7,169189,162406,72608,109062,112799,195794,169189,162406,72608,109062,195794,112799
84,1,1,96477,19566,118,14013,56855,135129,96477,19566,118,14013,135129,56855
85,1,9,30940,30863,3160,14462,4830,12081,30940,30863,3160,14462,12081,4830
86,1,1,135007,135007,15986,63600,89678,181136,135007,135007,15986,63600,181136,89678
87,1,1,156438,141779,1835,4832,148192,282701,156438,141779,1835,4832,,148192
88,1,7,254499,166408,150788,195330,201416,256094,,166408,150788,195330,,
89,1,1,248437,248437,16740,97594,229486,338295,,,16740,97594,,
90,1,1,54945,34845,2327,5779,4281,64305,54945,34845,2327,5779,64305,4281
91,1,1,201780,41188,27904,68244,185973,240283,,41188,27904,68244,,185973
92,1,4,137449,136916,25422,77780,64104,123527,137449,136916,25422,77780,123527,64104
93,1,1,44513,44513,739,5876,4228,58330,44513,44513,739,5876,58330,4228
94,1,1,166549,166549,6816,12979,155778,299861,166549,166549,6816,12979,,155778
95,1,6,220260,182486,110871,148079,141308,238633,,182486,110871,148079,,141308
96,1,1,147634,15332,27034,69996,87334,132394,147634,15332,27034,69996,132394,87334
97,1,1,389681,388980,99841,198301,373453,478307,,,99841,198301,,
98,1,1,92812,67522,528,1184,44214,144976,92812,67522,528,1184,144976,44214
99,1,1,4427,4427,180,4595,258,5461,4427,4427,180,4595,5461,258
100,1,5,509180,508876,383061,428636,434394,487806,,,,,,
101,1,3,46329,46329,6923,29048,8441,15088,46329,46329,6923,29048,15088,8441
102,1,3,84930,84930,6294,38812,17544,100517,84930,84930,6294,38812,100517,17544
103,1,1,169210,62609,1118,15979,164712,275940,169210,62609,1118,15979,,164712
104,1,8,185868,185868,57501,117060,103046,154444,185868,185868,57501,117060,154444,103046
105,1,7,188960,189208,67970,124965,108710,153551,188960,189208,67970,124965,153551,108710
106,1,7,79260,35472,615,31071,31379,91396,79260,35472,615,31071,91396,31379
107,1,2,85167,85062,11069,51530,25136,55981,85167,85062,11069,51530,55981,25136
108,1,1,88681,87001,127,3619,31503,139793,88681,87001,127,3619,139793,31503
109,1,6,24786,6766,4378,12097,2014,13085,24786,6766,4378,12097,13085,2014
110,1,2,232767,232767,121134,161452,176274,223487,,,121134,161452,,176274
111,1,7,289861,154226,37544,94644,285427,391493,,154226,37544,94644,,
112,1,1,311084,175449,56978,117033,306650,408450,,175449,56978,117033,,
113,1,1,295507,169041,25247,85487,289777,406992,,169041,25247,85487,,
114,1,1,21136,20810,1535,4799,0,6137,21136,20810,1535,4799,6137,0
115,1,1,57802,57802,6355,39995,16391,28404,57802,57802,6355,39995,28404,16391
116,1,1,5900,5900,4114,10610,3683,7401,5900,5900,4114,10610,7401,3683
117,1,1,51518,35868,1264,7545,5495,64467,51518,35868,1264,7545,64467,5495
118,1,1,65161,57376,348,432,13588,91649,65161,57376,348,432,91649,13588
119,1,7,27624,7063,5020,14611,3380,15744,27624,7063,5020,14611,15744,3380
120,1,1,53348,53348,767,3852,7940,76174,53348,53348,767,3852,76174,7940
121,1,1,192537,183388,5371,19907,201938,346132,192537,183388,5371,19907,,
122,1,1,112016,112016,2210,22944,70168,186773,112016,112016,2210,22944,186773,70168
123,1,6,26134,26134,1885,4298,810,21822,26134,26134,1885,4298,21822,810
124,1,1,264106,125454,39608,84455,259922,349491,,125454,39608,84455,,
125,1,5,223344,223344,34044,58302,228904,370711,,,34044,58302,,
