OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
1,1,1,188590,83537,75220,130297,131929,187207,188590,83537,75220,130297,187207,131929
2,1,1,82591,10702,4625,39718,26114,67280,82591,10702,4625,39718,67280,26114
3,1,8,154095,100999,45388,82229,94511,163915,154095,100999,45388,82229,163915,94511
4,1,9,125398,107543,34345,59535,59186,148601,125398,107543,34345,59535,148601,59186
5,1,2,2008,2008,2008,4629,2008,2008,2008,2008,2008,4629,2008,2008
6,1,3,220943,200093,115550,157117,151754,247975,,,115550,157117,,151754
7,1,5,292502,198074,186035,231750,239087,293764,,198074,186035,,,
8,1,6,180414,83243,71333,123142,123044,178753,180414,83243,71333,123142,178753,123044
9,1,7,266804,152476,142554,197631,210090,265799,,152476,142554,197631,,
10,1,1,143517,104680,41473,71336,77828,160840,143517,104680,41473,71336,160840,77828
11,1,8,215308,116936,107014,158905,158807,214516,,116936,107014,158905,,158807
12,1,4,174564,116478,70432,109719,125447,183783,174564,116478,70432,109719,183783,125447
13,1,1,294989,182167,172245,227322,238568,294277,,182167,172245,,,
14,1,7,120939,109976,32454,59119,60603,147947,120939,109976,32454,59119,147947,60603
15,1,1,136255,119336,38418,70844,68344,159793,136255,119336,38418,70844,159793,68344
16,1,7,205109,130181,106418,143422,154998,208299,,130181,106418,143422,,154998
17,1,1,15409,670,2875,9970,670,10370,15409,670,2875,9970,10370,670
18,1,1,81281,74200,16089,24563,34553,110535,81281,74200,16089,24563,110535,34553
19,1,1,105155,80850,23266,32790,47448,123586,105155,80850,23266,32790,123586,47448
20,1,1,63334,61389,706,5393,16308,80271,63334,61389,706,5393,80271,16308
21,1,1,40871,20920,5536,10716,566,40631,40871,20920,5536,10716,40631,566
22,1,1,151238,89773,50564,97118,106699,159828,151238,89773,50564,97118,159828,106699
23,1,5,73237,14465,5762,34341,17789,54397,73237,14465,5762,34341,54397,17789
24,1,1,73202,10137,1264,35486,23068,74054,73202,10137,1264,35486,74054,23068
25,1,1,1937,1937,1937,4558,1200,1937,1937,1937,1937,4558,1937,1200
